source_file,category,dataset_name,sha256,duplicate_group_id,duplicate_group_size,selected_for_combined,selected_source_file,row_count,unique_original_event_ids,column_count,columns,experiment_count,experiments,notes
significant_splicing_events_tf - BEAF-32.csv,TF,BEAF-32,93be975fcf3294d1e1cd460e1711dc18d5ec6aa7fdc059df77b0968602fdc660,DUP022,1,Yes,significant_splicing_events_tf - BEAF-32.csv,204,204,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,0_3_day,
significant_splicing_events_tf - CLAMP.csv,TF,CLAMP,9965cd5a20beba592af516536ce9259763876b5f8116d88c2ebfe10b89ee820c,DUP023,1,Yes,significant_splicing_events_tf - CLAMP.csv,1642,408,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,2,Brain_Adult | Brain_L3,Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_tf - Dsx.csv,TF,Dsx,594e592b05e193ec9cdcc0a6e2170779c74e9e18e8e27220132745b3b4130ee9,DUP015,1,Yes,significant_splicing_events_tf - Dsx.csv,175,175,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,VNC,
significant_splicing_events_tf - Repo.csv,TF,Repo,7c69d02df6f8aab1a87a414907d47fc4a4326dcdd2855fba8c008681f0fd49bd,DUP019,1,Yes,significant_splicing_events_tf - Repo.csv,296,296,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,embryonic_vs_larval,
significant_splicing_events_tf - Sox14.csv,TF,Sox14,7962d61e111d9315f00baccd32f9726f2f5d2bd14049ae3a4630cb961c3d6e5c,DUP018,1,Yes,significant_splicing_events_tf - Sox14.csv,2583,1330,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,4,0h_pupae | 12h_pupae | 3rd_instar | 6h_pupae,Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_tf - Ubx.csv,TF,Ubx,56b7ecd86966d991716030d9f296f187478720f00b823a01bbdc9213955cd09c,DUP014,1,Yes,significant_splicing_events_tf - Ubx.csv,822,822,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,3rd_instar_brain,
significant_splicing_events_tf - fkh (1).csv,TF,FKH,b5964a0d265ad5c4b5832238c4d22826221988a067a4f15afdded15e0eff746a,DUP028,2,No,significant_splicing_events_tf - fkh.csv,2292,2174,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,3,12hr | 14hr | 5_day,Exact duplicate group; only the selected source was included in the combined event tables. Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_tf - fkh.csv,TF,FKH,b5964a0d265ad5c4b5832238c4d22826221988a067a4f15afdded15e0eff746a,DUP028,2,Yes,significant_splicing_events_tf - fkh.csv,2292,2174,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,3,12hr | 14hr | 5_day,Exact duplicate group; only the selected source was included in the combined event tables. Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_tf - vvl.csv,TF,vvl,3d6830386a3e3afbef00fb3cac7e62398d578d485aafd54415fc61538c7a145e,DUP007,1,Yes,significant_splicing_events_tf - vvl.csv,676,670,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,2,3_7_day | 3rd_instar,Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - CG1316.csv,RBP,CG1316,f59c1eb22707e1469323be27ea68f81f1005c2595042480ece662424924a5116,DUP037,1,Yes,significant_splicing_events_rbp - CG1316.csv,353,353,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,CG1316,
significant_splicing_events_rbp - CG4612.csv,RBP,CG4612,af663765c645f46decda5928c29ed26dec1f61109e1e29d9eab48485218a611b,DUP026,1,Yes,significant_splicing_events_rbp - CG4612.csv,249,249,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,CG4612,
significant_splicing_events_rbp - Cbp20.csv,RBP,Cbp20,afe43c78f54ca125c92a81ad5ec0bff8cf793278ca510a236e1c1a65e8105ad6,DUP027,1,Yes,significant_splicing_events_rbp - Cbp20.csv,1818,1123,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,6,Cbp20 | Cbp20_Fsn | Cbp20_dlg1 | Fsn | Pak | dlg1,Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - Elav.csv,RBP,Elav,106b200eadfeaf75d627203f7e5786c26a9b9d1a58e03547ab499db94a87b84e,DUP004,1,Yes,significant_splicing_events_rbp - Elav.csv,1994,1503,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,2,Elav | Elav_fne,Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - Fmr1.csv,RBP,Fmr1,cbfa9c365e60db547b84b868d4af44613aece614aab2288ee326f92f4a54fd67,DUP031,1,Yes,significant_splicing_events_rbp - Fmr1.csv,244,244,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Fmr1,
significant_splicing_events_rbp - Hrb87F(1).csv,RBP,Hrb87F,cd3472863300761a6a4d4e14066248ec02d6c53a61d1128a5fc110c45cdb9c46,DUP032,2,No,significant_splicing_events_rbp - Hrb87F.csv,180,180,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Hrb87F,Exact duplicate group; only the selected source was included in the combined event tables.
significant_splicing_events_rbp - Hrb87F.csv,RBP,Hrb87F,cd3472863300761a6a4d4e14066248ec02d6c53a61d1128a5fc110c45cdb9c46,DUP032,2,Yes,significant_splicing_events_rbp - Hrb87F.csv,180,180,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Hrb87F,Exact duplicate group; only the selected source was included in the combined event tables.
significant_splicing_events_rbp - Hrb98DE.csv,RBP,Hrb98DE,5320ed18efba82617c9b301869f79007543cf9d8c83eb93bccb475f1a5ecc0a1,DUP012,1,Yes,significant_splicing_events_rbp - Hrb98DE.csv,347,347,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Hrb98DE,
