regulator_type,regulator,total_spliced_genes,non_sex_specific_spliced_genes,sex_specific_spliced_genes,percent_non_sex_specific_spliced_genes,percent_sex_specific_spliced_genes,unique_splicing_events,sex_specific_splicing_events
RBP,Elav,877,838,39,95.55302166476625,4.4469783352337515,1503,45
RBP,Cbp20,809,793,16,98.02224969097651,1.9777503090234858,1123,19
RBP,prp19,755,723,32,95.76158940397352,4.23841059602649,1201,34
RBP,METTL3,708,691,17,97.59887005649718,2.401129943502825,901,19
RBP,Rbp9,398,386,12,96.98492462311557,3.0150753768844223,556,12
RBP,Nelf-E,389,380,9,97.68637532133675,2.3136246786632393,495,9
RBP,U2af50,388,366,22,94.3298969072165,5.670103092783505,533,24
RBP,Hrb98DE,287,273,14,95.1219512195122,4.878048780487805,347,15
RBP,CG1316,279,274,5,98.2078853046595,1.7921146953405018,353,6
RBP,mod,278,269,9,96.76258992805755,3.237410071942446,365,9
RBP,Sxl,234,228,6,97.43589743589743,2.5641025641025643,303,7
RBP,Orb2,224,220,4,98.21428571428571,1.7857142857142858,250,4
RBP,CG4612,213,208,5,97.65258215962442,2.347417840375587,249,6
RBP,Rbp6,201,196,5,97.51243781094527,2.487562189054726,244,5
RBP,Fmr1,197,192,5,97.46192893401015,2.5380710659898478,244,6
RBP,caz,177,164,13,92.65536723163842,7.344632768361582,231,14
RBP,NonA,174,165,9,94.82758620689656,5.172413793103448,211,9
RBP,ISWI,162,157,5,96.91358024691358,3.0864197530864197,178,5
RBP,Hrb87F,152,150,2,98.6842105263158,1.3157894736842106,180,2
RBP,Syp,150,143,7,95.33333333333333,4.666666666666667,191,9
RBP,eIF4H1,143,140,3,97.9020979020979,2.097902097902098,178,3
RBP,Sqd,142,142,0,100.0,0.0,162,0
RBP,TBPH,132,130,2,98.48484848484848,1.5151515151515151,154,2
RBP,Imp,130,128,2,98.46153846153847,1.5384615384615385,146,2
RBP,Rin,125,122,3,97.6,2.4,131,3
RBP,Set1,72,69,3,95.83333333333333,4.166666666666667,83,4
