dataset_type,dataset_name,filename,input_rows,unique_event_ids,experiment_count,experiments
tf,BEAF-32,significant_splicing_events_tf - BEAF-32.csv,204,204,1,0_3_day
tf,CLAMP,significant_splicing_events_tf - CLAMP.csv,1642,408,2,Brain_Adult | Brain_L3
tf,Dsx,significant_splicing_events_tf - Dsx.csv,175,175,1,VNC
tf,FKH,significant_splicing_events_tf - fkh.csv,2292,2174,3,12hr | 14hr | 5_day
tf,Repo,significant_splicing_events_tf - Repo.csv,296,296,1,embryonic_vs_larval
tf,Sox14,significant_splicing_events_tf - Sox14.csv,2583,1330,4,0h_pupae | 12h_pupae | 3rd_instar | 6h_pupae
tf,Ubx,significant_splicing_events_tf - Ubx.csv,822,822,1,3rd_instar_brain
tf,vvl,significant_splicing_events_tf - vvl.csv,676,670,2,3_7_day | 3rd_instar
rbp,CG1316,significant_splicing_events_rbp - CG1316.csv,353,353,1,CG1316
rbp,CG4612,significant_splicing_events_rbp - CG4612.csv,249,249,1,CG4612
rbp,Cbp20,significant_splicing_events_rbp - Cbp20.csv,1818,1123,6,Cbp20 | Cbp20_Fsn | Cbp20_dlg1 | Fsn | Pak | dlg1
rbp,Elav,significant_splicing_events_rbp - Elav.csv,1994,1503,2,Elav | Elav_fne
rbp,Fmr1,significant_splicing_events_rbp - Fmr1.csv,244,244,1,Fmr1
rbp,Hrb87F,significant_splicing_events_rbp - Hrb87F.csv,180,180,1,Hrb87F
rbp,Hrb98DE,significant_splicing_events_rbp - Hrb98DE.csv,347,347,1,Hrb98DE
rbp,ISWI,significant_splicing_events_rbp - ISWI.csv,178,178,1,ISWI
rbp,Imp,significant_splicing_events_rbp - Imp.csv,146,146,1,Imp
rbp,METTL3,significant_splicing_events_rbp - mettl3.csv,1153,901,6,DaGal4_34day | DaGal4_5day | ElavGal4_34day | ElavGal4_5day | RepoGal4_34day | RepoGal4_5day
rbp,Nelf-E,significant_splicing_events_rbp - Nelf-E.csv,495,495,1,Nelf-E
rbp,NonA,significant_splicing_events_rbp - NonA.csv,211,211,1,NonA
rbp,Orb2,significant_splicing_events_rbp - Orb2.csv,250,250,1,Orb2
rbp,Rbp6,significant_splicing_events_rbp - Rbp6.csv,244,244,1,Rbp6
rbp,Rbp9,significant_splicing_events_rbp - Rbp9.csv,758,556,2,Rbp9 | fne_Rbp9
rbp,Rin,significant_splicing_events_rbp - Rin.csv,131,131,1,Rin
rbp,Set1,significant_splicing_events_rbp - Set1.csv,83,83,1,Set1
rbp,Sqd,significant_splicing_events_rbp - Sqd.csv,162,162,1,Sqd
rbp,Sxl,significant_splicing_events_rbp - Sxl.csv,303,303,1,Sxl
rbp,Syp,significant_splicing_events_rbp - Syp.csv,191,191,1,Syp
rbp,TBPH,significant_splicing_events_rbp - TBPH.csv,154,154,1,TBPH
rbp,U2af50,significant_splicing_events_rbp - U2af50.csv,533,533,1,U2af50
rbp,caz,significant_splicing_events_rbp - caz.csv,231,231,1,caz
rbp,eIF4H1,significant_splicing_events_rbp - eIF4H1.csv,178,178,1,eIF4H1
rbp,mod,significant_splicing_events_rbp - mod (1).csv,365,365,1,brain
rbp,prp19,significant_splicing_events_rbp - prp19.csv,1201,1201,1,prp19
