event_id,TFs,RBPs,n_TFs,n_RBPs,3d_strict,3d_dPSI,3d_FDR,6d_strict,6d_dPSI,6d_FDR,9d_dPSI,9d_FDR,9d_strict,gene_id,geneSymbol,event_type,strict_age_pattern,n_strict_ages,max_abs_dPSI,plot_label
FBgn0028331;SE:X:10357813-10357995:10358003-10358086:-,FKH,"Fmr1, METTL3, U2af50, prp19",1,4,True,-0.175,0.02435789419,True,0.602,3.252713373e-06,,,False,FBgn0028331,l(1)G0289,SE,3d + 6d,2,0.602,"l(1)G0289 (SE)  |  1 TF, 4 RBP"
FBgn0259139;SE:3R:11816757-11817194:11817338-11818006:-,"BEAF-32, FKH, Sox14","Elav, NonA",3,2,True,0.12,0.01907168209,True,0.208,5.45884854e-08,,,False,FBgn0259139,glo,SE,3d + 6d,2,0.208,"glo (SE)  |  3 TF, 2 RBP"
FBgn0052423;A3:3L:5163975-5166935:5163969-5166935:-,Sox14,Elav,1,1,True,-0.204,0.04421298094,True,0.18,0.04482332643,,,False,FBgn0052423,shep,A3,3d + 6d,2,0.204,"shep (A3)  |  1 TF, 1 RBP"
FBgn0033951;RI:2R:14645270:14645309-14645374:14645556:+,Ubx,ISWI,1,1,True,0.179,0.0001400364286,False,,,-0.159,0.04466455402,True,FBgn0033951,CG10139,RI,3d + 9d,2,0.179,"CG10139 (RI)  |  1 TF, 1 RBP"
FBgn0069969;SE:2R:927570-929051:929292-949871:-,"FKH, Ubx","Elav, Sxl, U2af50",2,3,False,,,True,0.164,2.902779451e-05,-0.343,0.03336702735,True,FBgn0069969,CG40498,SE,6d + 9d,2,0.343,"CG40498 (SE)  |  2 TF, 3 RBP"
FBgn0034002;SE:2R:15221823-15221899:15221980-15222044:+,FKH,"Elav, Orb2",1,2,False,-0.281,0.2627010329,True,0.11,0.02171419799,0.287,0.001216536116,True,FBgn0034002,CG8079,SE,6d + 9d,2,0.287,"CG8079 (SE)  |  1 TF, 2 RBP"
FBgn0039116;A3:3R:23767870-23768009:23767870-23768079:+,FKH,"Elav, Rin, U2af50, caz, prp19",1,5,True,0.814,1.22680199e-08,False,,,,,False,FBgn0039116,CG10375,A3,3d,1,0.814,"CG10375 (A3)  |  1 TF, 5 RBP"
FBgn0039406;A3:3R:26059054-26059235:26059051-26059235:-,CLAMP,"Cbp20, NonA, Set1",1,3,True,-0.693,0.0002033458464,False,,,,,False,FBgn0039406,RpL34a,A3,3d,1,0.693,"RpL34a (A3)  |  1 TF, 3 RBP"
FBgn0260742;A5:3R:11966286-11966455:11966286-11966488:-,"FKH, Repo, Sox14","CG4612, Fmr1, Hrb98DE, caz",3,4,True,-0.667,0.03838823878,False,,,0.333,0.2412478236,False,FBgn0260742,CG12213,A5,3d,1,0.667,"CG12213 (A5)  |  3 TF, 4 RBP"
FBgn0264815;A3:2L:11925728-11928543:11925715-11928543:-,vvl,"Fmr1, METTL3, Nelf-E",1,3,True,-0.667,0.00334874253,False,,,,,False,FBgn0264815,Pde1c,A3,3d,1,0.667,"Pde1c (A3)  |  1 TF, 3 RBP"
FBgn0034723;A3:2R:22383194-22386374:22383194-22386395:+,FKH,"METTL3, TBPH",1,2,True,-0.593,0.0001524488566,False,,,,,False,FBgn0034723,CG13506,A3,3d,1,0.593,"CG13506 (A3)  |  1 TF, 2 RBP"
FBgn0032210;A5:2L:10299220-10299747:10299220-10299762:-,"FKH, Sox14","Cbp20, Elav, ISWI, Rin",2,4,True,-0.524,0.01319817811,False,,,,,False,FBgn0032210,CYLD,A5,3d,1,0.524,"CYLD (A5)  |  2 TF, 4 RBP"
FBgn0041164;A3:3L:3461670-3462104:3461670-3462121:+,"Sox14, Ubx",Hrb87F,2,1,True,0.436,0.003725992982,False,,,,,False,FBgn0041164,armi,A3,3d,1,0.436,"armi (A3)  |  2 TF, 1 RBP"
FBgn0263198;RI:2L:19045355:19045436-19045522:19047047:+,"FKH, Ubx",METTL3,2,1,True,-0.401,0.007313642612,False,,,,,False,FBgn0263198,Acn,RI,3d,1,0.401,"Acn (RI)  |  2 TF, 1 RBP"
FBgn0287873;A5:2R:25010616-25011312:25010616-25011376:-,Repo,"METTL3, prp19",1,2,True,0.396,0.006121534269,False,,,,,False,FBgn0287873,zip,A5,3d,1,0.396,"zip (A5)  |  1 TF, 2 RBP"
FBgn0061200;RI:X:16599241:16599639-16599724:16600313:+,CLAMP,"METTL3, U2af50, prp19",1,3,True,-0.329,0.0001151802088,False,,,,,False,FBgn0061200,Nup153,RI,3d,1,0.329,"Nup153 (RI)  |  1 TF, 3 RBP"
FBgn0013799;A5:3L:19820010-19828317:19820001-19828317:+,Ubx,Hrb98DE,1,1,True,0.321,0.002770600334,False,-0.494,0.1101423959,-0.339,0.2391341894,False,FBgn0013799,Deaf1,A5,3d,1,0.321,"Deaf1 (A5)  |  1 TF, 1 RBP"
FBgn0029914;RI:X:6849770:6851052-6851300:6851884:+,Ubx,"eIF4H1, prp19",1,2,True,0.317,0.0004115343796,False,,,,,False,FBgn0029914,CG4558,RI,3d,1,0.317,"CG4558 (RI)  |  1 TF, 2 RBP"
FBgn0032515;SE:2L:13384022-13384657:13384794-13384984:+,Ubx,"U2af50, caz",1,2,True,0.294,0.000358933506,False,,,0.381,0.1367392494,False,FBgn0032515,loqs,SE,3d,1,0.294,"loqs (SE)  |  1 TF, 2 RBP"
FBgn0004244;RI:3L:9151248:9151484-9151572:9151873:-,"Dsx, Sox14","Elav, Hrb98DE",2,2,True,-0.206,0.0001411995109,False,,,,,False,FBgn0004244,Rdl,RI,3d,1,0.206,"Rdl (RI)  |  2 TF, 2 RBP"
FBgn0014189;RI:2L:5540169:5540300-5540972:5541090:-,Sox14,Elav,1,1,True,0.182,0.03279623395,False,,,-0.003,0.1805213981,False,FBgn0014189,Hel25E,RI,3d,1,0.182,"Hel25E (RI)  |  1 TF, 1 RBP"
