TF,RBP,event_id,shared_exact_events_in_pair,jaccard_similarity,tf_event_count,rbp_event_count,percent_of_tf_events,percent_of_rbp_events,tf_gene_id,tf_gene_name,tf_event_type,tf_experiments,tf_experiment_count,tf_dPSI_values,tf_p_values,tf_source_files,tf_row_count,rbp_gene_id,rbp_gene_name,rbp_event_type,rbp_experiments,rbp_experiment_count,rbp_dPSI_values,rbp_p_values,rbp_source_files,rbp_row_count,gene_id,gene_name,event_type
FKH,Cbp20,FBgn0000017;SE:3L:16629206-16631377:16631430-16646810:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000017,FBgn0000017,SE,5_day,1,-0.1431826265,0.040959041,significant_splicing_events_tf - fkh.csv,1,FBgn0000017,FBgn0000017,SE,Cbp20_Fsn | Cbp20_dlg1 | dlg1,3,-0.1450896717 | -0.3227660751 | -0.2146218573,0.0334665335 | 0.006993007 | 0.031968032,significant_splicing_events_rbp - Cbp20.csv,3,FBgn0000017,FBgn0000017,SE
FKH,Cbp20,FBgn0000064;AL:3R:26254069:26255431-26256933:26255966:26256307-26256933:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000064,FBgn0000064,AL,5_day,1,-0.0947653598,0.016983017,significant_splicing_events_tf - fkh.csv,1,FBgn0000064,FBgn0000064,AL,Cbp20 | Cbp20_Fsn,2,0.1517915439 | 0.119725875,0.047952048 | 0.0427072927,significant_splicing_events_rbp - Cbp20.csv,2,FBgn0000064,FBgn0000064,AL
FKH,Cbp20,FBgn0000064;AL:3R:26254603:26255431-26256933:26255966:26256307-26256933:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000064,FBgn0000064,AL,5_day,1,-0.0923213878,0.016983017,significant_splicing_events_tf - fkh.csv,1,FBgn0000064,FBgn0000064,AL,Cbp20_Fsn,1,0.1159290295,0.0427072927,significant_splicing_events_rbp - Cbp20.csv,1,FBgn0000064,FBgn0000064,AL
FKH,Cbp20,FBgn0000064;AL:3R:26255204:26255431-26256933:26255966:26256307-26256933:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000064,FBgn0000064,AL,5_day,1,-0.1928960262,0.002997003,significant_splicing_events_tf - fkh.csv,1,FBgn0000064,FBgn0000064,AL,Fsn,1,-0.1856465952,0.023976024,significant_splicing_events_rbp - Cbp20.csv,1,FBgn0000064,FBgn0000064,AL
FKH,Cbp20,FBgn0000253;AF:2R:12260032:12260188-12264743:12264544:12264675-12264743:+,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000253,FBgn0000253,AF,5_day,1,-0.5039220177,0.0,significant_splicing_events_tf - fkh.csv,1,FBgn0000253,FBgn0000253,AF,Cbp20_Fsn | Cbp20_dlg1 | Fsn,3,0.1348883831 | 0.0976325681 | 0.1121714876,0.022977023 | 0.0364635365 | 0.0164835165,significant_splicing_events_rbp - Cbp20.csv,3,FBgn0000253,FBgn0000253,AF
FKH,Cbp20,FBgn0000308;A5:2L:5979704-5980847:5979704-5980951:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000308,FBgn0000308,A5,5_day,1,0.237947511,0.0,significant_splicing_events_tf - fkh.csv,1,FBgn0000308,FBgn0000308,A5,Cbp20 | Cbp20_Fsn | Cbp20_dlg1 | Fsn,4,-0.2201005791 | -0.1294735291 | -0.3772300508 | -0.227173515,0.037962038 | 0.04995005 | 0.005994006 | 0.011988012,significant_splicing_events_rbp - Cbp20.csv,4,FBgn0000308,FBgn0000308,A5
FKH,Cbp20,FBgn0000308;A5:2L:5979704-5980847:5979704-5980953:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000308,FBgn0000308,A5,5_day,1,0.3861908515,0.0,significant_splicing_events_tf - fkh.csv,1,FBgn0000308,FBgn0000308,A5,Cbp20 | Cbp20_Fsn | Cbp20_dlg1 | Fsn,4,-0.1514599635 | -0.1166292273 | -0.3076186608 | -0.147860722,0.042957043 | 0.04995005 | 0.010989011 | 0.02997003,significant_splicing_events_rbp - Cbp20.csv,4,FBgn0000308,FBgn0000308,A5
FKH,Cbp20,FBgn0000318;A3:2L:5520235-5520287:5520235-5520302:+,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000318,FBgn0000318,A3,5_day,1,0.2386072501,0.0064935065,significant_splicing_events_tf - fkh.csv,1,FBgn0000318,FBgn0000318,A3,dlg1,1,-0.0963850376,0.033966034,significant_splicing_events_rbp - Cbp20.csv,1,FBgn0000318,FBgn0000318,A3
FKH,Cbp20,FBgn0000319;A5:X:15834371-15835325:15834371-15835338:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000319,FBgn0000319,A5,5_day,1,0.4892189386,0.004995005,significant_splicing_events_tf - fkh.csv,1,FBgn0000319,FBgn0000319,A5,Fsn,1,-0.370521485,0.02997003,significant_splicing_events_rbp - Cbp20.csv,1,FBgn0000319,FBgn0000319,A5
FKH,Cbp20,FBgn0000412;AF:3R:9240068-9240202:9240267:9240068-9240512:9240654:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000412,FBgn0000412,AF,5_day,1,-0.3256121575,0.0,significant_splicing_events_tf - fkh.csv,1,FBgn0000412,FBgn0000412,AF,Fsn | dlg1,2,0.1110803159 | 0.167866725,0.042957043 | 0.041958042,significant_splicing_events_rbp - Cbp20.csv,2,FBgn0000412,FBgn0000412,AF
FKH,Cbp20,FBgn0000564;A3:3R:17447530-17448767:17447526-17448767:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000564,FBgn0000564,A3,5_day,1,0.3532530503,0.032967033,significant_splicing_events_tf - fkh.csv,1,FBgn0000564,FBgn0000564,A3,Cbp20_dlg1,1,-0.8815247439,0.0324675325,significant_splicing_events_rbp - Cbp20.csv,1,FBgn0000564,FBgn0000564,A3
FKH,Cbp20,FBgn0000723;AF:3R:9369710-9370053:9370361:9369710-9371015:9371539:-,469,0.16584158415841585,2174,1123,21.57313707451702,41.76313446126447,FBgn0000723,FBgn0000723,AF,5_day,1,0.1635385635,0.0434565435,significant_splicing_events_tf - fkh.csv,1,FBgn0000723,FBgn0000723,AF,Cbp20_dlg1,1,-0.3130700353,0.042957043,significant_splicing_events_rbp - Cbp20.csv,1,FBgn0000723,FBgn0000723,AF
